user_id,age,income_range,risk_profile,occupation
user_047,52,150k+,aggressive,Operador de telar y otras máquinas tejedoras
user_048,37,50k-100k,moderate,Analista financiero
user_049,65,30k-50k,conservative,Trabajador comunitario de la salud
user_050,41,30k-50k,conservative,Supervisor de la construcción
user_051,53,30k-50k,conservative,Farmacéutico
user_052,18,30k-50k,conservative,Árbitro deportivo
user_053,30,100k-150k,moderate,Traductor e intérprete
user_054,26,30k-50k,conservative,Operador de máquinas para fabricar productos de material plástico
user_055,66,50k-100k,moderate,Ayudante de ambulancia
user_056,25,30k-50k,conservative,Fabricante de instrumentos musicales
user_057,49,150k+,aggressive,Tapicero
user_058,24,30k-50k,conservative,Gerente general
user_059,61,50k-100k,moderate,Optometrista
user_060,32,30k-50k,conservative,Operador de máquinas para fabricar productos de material plástico
user_061,52,30k-50k,conservative,Agente de maniobras
user_062,56,30k-50k,conservative,Instalador y reparador de líneas eléctricas
user_063,46,150k+,aggressive,Instalador y reparador en tecnología de la información y las comunicaciones
user_064,62,100k-150k,moderate,Entrenador deportivo
user_065,25,50k-100k,moderate,Tasador
user_066,67,150k+,aggressive,Operario en cemento armado y enfoscador
user_067,44,30k-50k,conservative,Recepcionista
user_068,49,30k-50k,conservative,Empleado del servicio de personal
user_069,61,30k-50k,conservative,Director de investigación y desarrollo
user_070,68,50k-100k,moderate,Productor y trabajador calificado de explotaciones agropecuarias mixtas
user_071,18,30k-50k,conservative,Conductor de motocicletas
user_072,48,30k-50k,conservative,Profesor de enseñanza secundaria
user_073,23,50k-100k,moderate,Director de empresas de abastecimiento distribución y afines
user_074,68,150k+,aggressive,Operador de plantas y máquinas de productos químicos
user_075,42,30k-50k,conservative,Pintor y empapelador
user_076,40,150k+,aggressive,Locutor de radio
user_077,58,30k-50k,conservative,Operador de telar y otras máquinas tejedoras
user_078,33,100k-150k,moderate,Operador de máquinas para elaborar alimentos y productos afines
user_079,57,150k+,aggressive,Fotógrafo
user_080,20,50k-100k,moderate,Director de explotaciones de minería
user_081,51,150k+,aggressive,Compositor
user_082,47,100k-150k,moderate,Ingeniero químico
user_083,35,30k-50k,conservative,Oficial de las fuerzas armadas
user_084,37,100k-150k,moderate,Instalador y reparador de líneas eléctricas
user_085,37,150k+,aggressive,Secretario (general)
user_086,54,100k-150k,moderate,Oficinista general
user_087,61,30k-50k,conservative,Fabricante de instrumentos musicales
user_088,49,100k-150k,moderate,Representante comercial
user_089,22,50k-100k,moderate,Profesional de la salud y la higiene laboral y ambiental
user_090,35,50k-100k,moderate,Catador de bebidas
user_091,48,100k-150k,moderate,Mandader
user_092,27,30k-50k,conservative,Suboficial de las fuerzas armadas
user_093,34,150k+,aggressive,Demostrador de tiendas
user_094,69,30k-50k,conservative,Agente de empleo
user_095,37,100k-150k,moderate,Vendedor ambulantes (excluyendo de comida)
user_096,55,150k+,aggressive,Curador de museos
user_097,28,100k-150k,moderate,Agente de bolsa
user_098,18,30k-50k,conservative,Secretario administrativo
user_099,50,150k+,aggressive,Modelador de vidrio
user_100,51,30k-50k,conservative,Conductor de camiones pesados
